benchmark,system,setting,instance,N,status,time,timeout,memout,error,models,clingo_total,grounding,solving,mem,choices,conflicts,restarts,rules,variables,atoms,constraints,decide_calls,lazy_active,avg_candidates_per_decide,max_candidates_seen,total_candidates_seen,total_decide_time_ms,total_prolog_query_time_ms,total_candidate_scan_time_ms,total_candidate_selection_time_ms,total_literal_lookup_time_ms,total_state_sync_time_ms,par2
HRP,clingo-native,gc,house-4,4,SATISFIABLE,0.03,0,0,0,1.0,0.01,0.01,0.0,0.0,23.0,1.0,0.0,3547.0,1440.0,551.0,6796.0,,,,,,,,,,,,0.03
HRP,clingo-native,gc,house-6,6,SATISFIABLE,0.04,0,0,0,1.0,0.013,0.013,0.0,0.0,36.0,3.0,0.0,9467.0,3272.0,931.0,17440.0,,,,,,,,,,,,0.04
HRP,clingo-native,gc,house-8,8,SATISFIABLE,0.05,0,0,0,1.0,0.024,0.024,0.0,0.0,68.0,18.0,0.0,20673.0,6316.0,1399.0,37168.0,,,,,,,,,,,,0.05
HRP,clingo-native,gc,house-10,10,SATISFIABLE,0.07,0,0,0,1.0,0.042,0.042,0.0,0.0,141.0,73.0,0.0,39439.0,10824.0,1955.0,68992.0,,,,,,,,,,,,0.07
HRP,clingo-native,gc,house-12,12,SATISFIABLE,0.1,0,0,0,1.0,0.077,0.067,0.01,0.0,799.0,364.0,3.0,68453.0,17084.0,2599.0,116560.0,,,,,,,,,,,,0.1
HRP,clingo-native,gc,house-14,14,SATISFIABLE,0.14,0,0,0,1.0,0.112,0.10200000000000001,0.01,24.0,571.0,216.0,2.0,110787.0,25384.0,3331.0,183904.0,,,,,,,,,,,,0.14
HRP,clingo-native,gc,house-16,16,SATISFIABLE,0.2,0,0,0,1.0,0.168,0.158,0.01,19.0,773.0,237.0,2.0,169897.0,36012.0,4151.0,275440.0,,,,,,,,,,,,0.2
HRP,clingo-native,gc,house-18,18,SATISFIABLE,0.29,0,0,0,1.0,0.258,0.23800000000000002,0.02,36.0,895.0,234.0,2.0,249623.0,49256.0,5059.0,395968.0,,,,,,,,,,,,0.29
HRP,clingo-native,gc,house-20,20,SATISFIABLE,0.42,0,0,0,1.0,0.387,0.337,0.05,50.0,2397.0,539.0,5.0,354189.0,65404.0,6055.0,550672.0,,,,,,,,,,,,0.42
HRP,clingo-native,gc_noheur,house-2,2,SATISFIABLE,0.03,0,0,0,1.0,0.003,0.003,0.0,0.0,7.0,1.0,0.0,418.0,206.0,130.0,785.0,,,,,,,,,,,,0.03
HRP,clingo-native,gc_noheur,house-4,4,SATISFIABLE,0.03,0,0,0,1.0,0.005,0.005,0.0,0.0,44.0,15.0,0.0,2386.0,938.0,428.0,4242.0,,,,,,,,,,,,0.03
HRP,clingo-native,gc_noheur,house-6,6,SATISFIABLE,0.04,0,0,0,1.0,0.01,0.01,0.0,0.0,177.0,104.0,1.0,5950.0,2104.0,718.0,10368.0,,,,,,,,,,,,0.04
HRP,clingo-native,gc_noheur,house-8,8,SATISFIABLE,0.04,0,0,0,1.0,0.019,0.019,0.0,0.0,456.0,248.0,3.0,12136.0,4074.0,1072.0,21426.0,,,,,,,,,,,,0.04
HRP,clingo-native,gc_noheur,house-10,10,SATISFIABLE,0.05,0,0,0,1.0,0.029,0.029,0.0,0.0,440.0,162.0,2.0,21634.0,7004.0,1490.0,38460.0,,,,,,,,,,,,0.05
HRP,clingo-native,gc_noheur,house-12,12,SATISFIABLE,0.07,0,0,0,1.0,0.043,0.043,0.0,0.0,473.0,160.0,2.0,35164.0,11086.0,1972.0,62766.0,,,,,,,,,,,,0.07
HRP,clingo-native,gc_noheur,house-14,14,SATISFIABLE,0.09,0,0,0,1.0,0.063,0.053,0.01,0.0,705.0,162.0,2.0,53446.0,16512.0,2518.0,95640.0,,,,,,,,,,,,0.09
